module	symbol	kind	signature_or_shape	compatibility_requirement	oracle_source	port_status	evidence
requests	session	function	() -> Session	Preserve deprecated compatibility function	sessions.py:session	VERIFIED	oracle: sessions.py:session; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: unchanged tests + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests	codes	object	exported status_codes.codes	Preserve singleton identity and aliases	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: Task 14 Phase A keeps the Python singleton authoritative and freezes root/submodule identity plus the intentional reload-stale boundary; private exact reads use the canonical LookupDict proof only; review: accepted compatibility commits through 4d01c2c
requests	packages	module	exported compatibility module	Preserve module identity aliases	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: import identity tests; review: accepted compatibility commits through 4d01c2c
requests	utils	module	exported utility module	Preserve module identity	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: import identity tests; review: accepted compatibility commits through 4d01c2c
requests	check_compatibility	function	(urllib3_version, chardet_version, charset_normalizer_version)	Preserve assertions and warning behavior	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: warning/exception snapshot; review: accepted compatibility commits through 4d01c2c
requests	import dependency checks	side effect	import-time compatibility validation	Preserve RequestsDependencyWarning cases and text	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: subprocess import tests; review: accepted compatibility commits through 4d01c2c
requests	urllib3 DependencyWarning filter	side effect	simplefilter ignore	Preserve warning-filter insertion	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: warnings.filters snapshot; review: accepted compatibility commits through 4d01c2c
requests	logging NullHandler	side effect	logger requests gets NullHandler	Preserve no-handler behavior	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: logger snapshot; review: accepted compatibility commits through 4d01c2c
requests	FileModeWarning filter	side effect	simplefilter default append=True	Preserve warning-filter behavior	src/requests/__init__.py	VERIFIED	oracle: src/requests/__init__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: warnings.filters snapshot; review: accepted compatibility commits through 4d01c2c
requests	__version__	metadata	str 2.34.2	Preserve exact value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests	__build__	metadata	int 0x023402	Preserve exact value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests	__title__	metadata	str requests	Preserve exact value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests	__description__	metadata	str Python HTTP for Humans.	Preserve exact value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests	__url__	metadata	str URL	Preserve exact value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests	__author__	metadata	str Kenneth Reitz	Preserve exact value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests	__author_email__	metadata	str email	Preserve exact value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests	__license__	metadata	str Apache-2.0	Preserve exact value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests	__copyright__	metadata	str copyright	Preserve exact value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests	__cake__	metadata	str emoji	Preserve exact Unicode value	__version__.py	VERIFIED	oracle: __version__.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
requests.api	request	function	(method, url, **kwargs)	Same object/behavior as root request	api.py	VERIFIED	oracle: api.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: identity + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests.api	get	function	(url, params=None, **kwargs)	Same object/behavior as root get	api.py	VERIFIED	oracle: api.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: identity + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests.api	options	function	(url, **kwargs)	Same object/behavior as root options	api.py	VERIFIED	oracle: api.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: identity + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests.api	head	function	(url, **kwargs)	Same object/behavior as root head	api.py	VERIFIED	oracle: api.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: identity + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests.api	post	function	(url, data=None, json=None, **kwargs)	Same object/behavior as root post	api.py	VERIFIED	oracle: api.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: identity + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests.api	put	function	(url, data=None, **kwargs)	Same object/behavior as root put	api.py	VERIFIED	oracle: api.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: identity + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests.api	patch	function	(url, data=None, **kwargs)	Same object/behavior as root patch	api.py	VERIFIED	oracle: api.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: identity + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests.api	delete	function	(url, **kwargs)	Same object/behavior as root delete	api.py	VERIFIED	oracle: api.py; test: .venv/bin/python -m pytest -q tests_differential/test_import_api.py tests/test_requests.py; scope: identity + signature snapshot; review: accepted compatibility commits through 4d01c2c
requests.exceptions	RequestException	exception	IOError	Preserve inheritance, args, request/response attachment	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 keeps the public Python class authoritative and freezes exact MRO, args, falsey request inference, property/bool errors, unknown kwargs, attached graph identity, and pickle behavior; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	InvalidJSONError	exception	RequestException	Preserve hierarchy	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 exact 25-row exception/warning MRO corpus preserves the authoritative Python hierarchy; review: accepted compatibility commits through 4d01c2c
requests.exceptions	JSONDecodeError	exception	InvalidJSONError + selected JSONDecodeError	Preserve multiple inheritance, constructor, reduce, pickle	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 preserves selected-decoder multiple inheritance, constructor fields, request/response attachments, reduction, pickle, live JSON wrapper globals, original context, and wrapper failures; public class remains Python; review: accepted compatibility commits through 4d01c2c
requests.exceptions	HTTPError	exception	RequestException	Preserve response/request context	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 exact hierarchy plus existing Task 9 response/status context evidence preserves the authoritative Python class; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	ConnectionError	exception	RequestException	Preserve hierarchy	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 second fix proves public native connection-refused, DNS, send-reset, and streamed-read flows reconstruct version-appropriate MaxRetryError/NewConnectionError/NameResolutionError/ProtocolError/ReadTimeoutError graphs with actual pool, origin URL, args, cause, and context before live Requests target construction; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	ProxyError	exception	ConnectionError	Preserve hierarchy and mapping	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 review fix freezes the pristine adapter source/target graph before effects, then resolves the live raw requests.adapters ProxyError branch after effects with exact constructor shape and failure context; review: accepted compatibility commits through 4d01c2c
requests.exceptions	SSLError	exception	ConnectionError	Preserve hierarchy and mapping	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 12 native TLS kinds plus the Task 14 review fix exercise a real TLS handshake through the exact live requests.adapters handler and typed response TLS surrogate path; accepted review 840b2be; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	Timeout	exception	RequestException	Preserve common timeout base	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 exact hierarchy preserves the common authoritative Python timeout base; review: accepted compatibility commits through 4d01c2c
requests.exceptions	ConnectTimeout	exception	ConnectionError + Timeout	Preserve multiple inheritance and safe-to-retry meaning	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 12 typed establishment deadline plus Task 14 central adapter mapping preserves the live ConnectTimeout target, multiple inheritance, request attachment, and safe-to-retry distinction; accepted review 840b2be; review: accepted compatibility commits through 4d01c2c
requests.exceptions	ReadTimeout	exception	Timeout	Preserve distinction from ConnectTimeout	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 second fix preserves adapter ReadTimeout separately while a real native delayed-body read retains the actual pool, URL-derived message, versioned cause/context, and maps live requests.models semantics to ConnectionError only after terminal release; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	URLRequired	exception	RequestException	Preserve hierarchy and message	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 exact hierarchy preserves the authoritative Python class; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	TooManyRedirects	exception	RequestException	Preserve response/request context	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 exact hierarchy and RequestException attachment corpus preserve class/context semantics; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	MissingSchema	exception	RequestException + ValueError	Preserve multiple inheritance and message	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 central URL-preparation mapper selects the live MissingSchema target with exact positional message; public method remains Python-authoritative; review: accepted compatibility commits through 4d01c2c
requests.exceptions	InvalidSchema	exception	RequestException + ValueError	Preserve multiple inheritance and message	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 exact hierarchy preserves the authoritative Python class; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	InvalidURL	exception	RequestException + ValueError	Preserve multiple inheritance and message	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 central URL/transport mapper selects the live InvalidURL target with exact positional message while Task 7 preserves URL failure messages and fallback; review: accepted compatibility commits through 4d01c2c
requests.exceptions	InvalidHeader	exception	RequestException + ValueError	Preserve multiple inheritance and message	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 central header-preparation mapper selects the live requests.utils InvalidHeader target after Task 7 preserves partial mutation and exact message formatting; review: accepted compatibility commits through 4d01c2c
requests.exceptions	InvalidProxyURL	exception	InvalidURL	Preserve hierarchy and mapping	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 exact hierarchy preserves the authoritative Python class; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	ChunkedEncodingError	exception	RequestException	Preserve hierarchy and low-level mapping	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 second fix retains Content-Length byte counts and proves urllib3 2.7 emits two-argument ProtocolError(message, IncompleteRead(actual, remaining)) with exact cause/context while official 1.26 preserves its no-enforce-content-length behavior; body/pool terminalization precedes live target construction; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	ContentDecodingError	exception	RequestException + urllib3 BaseHTTPError	Preserve multiple inheritance while dependency remains public	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 second fix catches only live HTTPResponse.DECODER_ERROR_CLASSES and proves malformed native gzip becomes live ContentDecodingError(DecodeError(message, zlib.error)) with exact 2.7/1.26 cause/context and terminal lifecycle; brotli versus brotlicffi failure boundaries remain codec-dependent but exact oracle/rewrite equality is enforced; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	StreamConsumedError	exception	RequestException + TypeError	Preserve multiple inheritance	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 exact hierarchy plus existing Task 9 iter_content consumed-state evidence preserves the authoritative Python class; review: accepted compatibility commits through 4d01c2c
requests.exceptions	RetryError	exception	RequestException	Preserve retry mapping	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 second fix drains the native response before constructing MaxRetryError(ResponseError), validates except targets with CPython semantics, and reloads every live reason/global in authoritative bytecode order; the real reason-descriptor flow observes two accesses before the live RetryError target; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	UnrewindableBodyError	exception	RequestException	Preserve redirect/resend mapping	exceptions.py	VERIFIED	oracle: exceptions.py; test: tests_differential/test_exceptions.py; scope: Task 14 exact hierarchy plus Task 8 rewindability evidence preserves the authoritative Python class; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.exceptions	RequestsWarning	warning	Warning	Preserve hierarchy	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 exact warning MRO preserves the authoritative Python warning base; review: accepted compatibility commits through 4d01c2c
requests.exceptions	FileModeWarning	warning	RequestsWarning + DeprecationWarning	Preserve multiple inheritance and filter behavior	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 exact warning MRO plus Phase A root filter snapshot preserves the authoritative category and default filter; review: accepted compatibility commits through 4d01c2c
requests.exceptions	RequestsDependencyWarning	warning	RequestsWarning	Preserve import-time warning category	exceptions.py	VERIFIED	oracle: exceptions.py; test: .venv/bin/python -m pytest -q tests_differential/test_exceptions.py tests/test_requests.py; scope: Task 14 exact warning MRO plus Phase A isolated import corpus preserves category, exact messages, counts, and filter behavior; review: accepted compatibility commits through 4d01c2c
requests.structures	CaseInsensitiveDict	class	MutableMapping[str, value]	Preserve ordered case-insensitive mapping protocol	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py and tests_differential/test_compatibility_values.py; scope: crates/requests/src/structures.rs CaseInsensitiveMap + crates/requests-python/src/structures.rs observable private core_snapshot diagnostic; tests_differential/test_structures.py and unchanged tests; review: accepted compatibility commits through 4d01c2c; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.structures	CaseInsensitiveDict.__init__	method	(data=None, **kwargs)	Preserve accepted mapping/iterable inputs	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py constructs the unchanged authoritative Python class for private trials; review: accepted compatibility commits through 4d01c2c; closure-test: tests_differential/test_structures.py and tests_differential/test_compatibility_values.py; installed-oracle: 4d01c2c completed 619 passed, 15 skipped, 1 xpassed with compare_api.py reporting 303 rows and 0 mismatches; closure-review: public-façade commit 709a336 and alternate-runtime qualification commit 4d01c2c accepted by dual review
requests.structures	CaseInsensitiveDict mapping dunders	protocol	__setitem__, __getitem__, __delitem__, __iter__, __len__	Preserve last key casing and insertion order	structures.py	VERIFIED	oracle: structures.py; test: crates/requests/src/structures.rs native order tests + tests_differential/test_structures.py order/casing/delete/subclass/dynamic-error cases; ordinary private operations delegate exactly once, while explicit core_snapshot returns native ordered cased/normalized keys and length; review: accepted compatibility commits through 4d01c2c
requests.structures	CaseInsensitiveDict.lower_items	method	() -> iterator	Preserve lazy ordered lowercase-key iteration	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py lazy overwrite and ordered observation; private trial delegates iterator lifetime to authoritative Python; review: accepted compatibility commits through 4d01c2c
requests.structures	CaseInsensitiveDict.__eq__	method	(other)	Preserve Mapping comparison and NotImplemented behavior	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py arbitrary Mapping side effects and NotImplemented/non-mapping cases; private trial fallback; review: accepted compatibility commits through 4d01c2c
requests.structures	CaseInsensitiveDict.copy	method	()	Preserve value shape and independent store	structures.py	VERIFIED	oracle: structures.py; test: crates/requests/src/structures.rs clone independence + tests_differential/test_structures.py Python value identity/store independence; private trial only; review: accepted compatibility commits through 4d01c2c
requests.structures	CaseInsensitiveDict.__repr__	method	() -> str	Preserve dict-like repr and casing	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py cased repr with arbitrary value; private trial delegates authoritative Python repr; review: accepted compatibility commits through 4d01c2c
requests.structures	LookupDict	class	dict subclass with dynamic attributes	Preserve inheritance and None fallback	structures.py	VERIFIED	oracle: structures.py; test: .venv/bin/python -m pytest -q tests/test_structures.py tests_differential/test_structures.py; scope: Task 14 Phase A adds a canonical class/bases/dictionary/callable proof for exact status singleton reads; arbitrary LookupDict instances, subclasses, replacements, and mutations remain authoritative Python behavior; review: accepted compatibility commits through 4d01c2c
requests.structures	LookupDict.__init__	method	(name=None)	Preserve arbitrary name and empty dict base	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py arbitrary name identity and empty dict base using unchanged authoritative Python initialization; review: accepted compatibility commits through 4d01c2c
requests.structures	LookupDict.__repr__	method	() -> str	Preserve <lookup 'name'> formatting	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py arbitrary-name repr side effect and subclass override; private trial only; review: accepted compatibility commits through 4d01c2c
requests.structures	LookupDict.__getattr__	method	(key) -> value; raises AttributeError if missing	Preserve instance-dict lookup and missing AttributeError	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py dynamic identity, explicit missing AttributeError, and subclass override; authoritative Python attribute dispatch; review: accepted compatibility commits through 4d01c2c
requests.structures	LookupDict.__getitem__	method	(key) -> value | None	Preserve attribute-backed lookup instead of dict entries	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py attribute-vs-dict-base identity and missing None; authoritative Python item dispatch; review: accepted compatibility commits through 4d01c2c
requests.structures	LookupDict.get	method	(key, default=None)	Preserve default behavior and dynamic attributes	structures.py	VERIFIED	oracle: structures.py; test: tests_differential/test_structures.py dynamic value/default, instance-shadowed get, subclass override, and rebound class; authoritative Python method dispatch; review: accepted compatibility commits through 4d01c2c
requests.status_codes	codes	object	LookupDict[int] singleton	Preserve object type, name, repr, item/attribute access	status_codes.py	VERIFIED	oracle: status_codes.py; test: .venv/bin/python -m pytest -q tests_differential/test_compatibility_values.py; scope: Task 14 Phase A preserves the authoritative Python singleton/empty dict base/mutable __dict__; private exact item/get/attribute reads fall back on any class or callable mutation and re-admit after restoration; review: accepted compatibility commits through 4d01c2c
requests.status_codes	all status aliases	dynamic attributes	lowercase and uppercase aliases from _codes	Preserve every numeric mapping including symbolic aliases	status_codes.py:_codes	VERIFIED	oracle: status_codes.py:_codes; test: .venv/bin/python -m pytest -q tests_differential/test_compatibility_values.py; scope: Task 14 Phase A freezes 68 ordered rows, 243 final aliases, overwrite collisions, case and symbolic Unicode values, mutation, and exact _codes/alias hashes; review: accepted compatibility commits through 4d01c2c
requests.status_codes	module __doc__	generated documentation	one line per status code	Preserve import-time generated documentation	status_codes.py:_init	VERIFIED	oracle: status_codes.py:_init; test: .venv/bin/python -m pytest -q tests_differential/test_compatibility_values.py; scope: Task 14 Phase A freezes the sorted 3378-character generated document and hash while preserving reload creation of a new submodule singleton; review: accepted compatibility commits through 4d01c2c
requests.hooks	HOOKS	constant	"[""response""]"	Preserve mutable list value and order	hooks.py	VERIFIED	oracle: hooks.py; test: .venv/bin/python -m pytest -q tests/test_hooks.py tests_differential/test_hooks_auth.py; scope: value snapshot; review: accepted compatibility commits through 4d01c2c
